iter	F1	Logloss
0	0.7502413032	0.6639599848
1	0.7502413032	0.6255556774
2	0.7873117276	0.5957949839
3	0.7688445258	0.567955641
4	0.7699412462	0.5447477879
5	0.7708090238	0.5022535454
6	0.7585280742	0.4830856036
7	0.7585280742	0.465985965
8	0.7829481319	0.4492777875
9	0.7786730543	0.4194718818
10	0.7775280006	0.4074495749
11	0.7769567357	0.3907452883
12	0.7769567357	0.3787753272
13	0.778535944	0.3695764995
14	0.778535944	0.3551196495
15	0.7791055757	0.3456890919
16	0.7831164575	0.3330884691
17	0.7831164575	0.3268043433
18	0.779390146	0.3221947216
19	0.7788121315	0.3165790758
20	0.7788121315	0.3109641214
21	0.7788121315	0.3047161164
22	0.7788121315	0.2965501581
23	0.7803969725	0.2900936876
24	0.7803969725	0.2852764786
25	0.7809733094	0.2816699581
26	0.779390146	0.2752223316
27	0.7821285408	0.2694671279
28	0.7821285408	0.266711679
29	0.7815504982	0.2619852646
30	0.7809733094	0.2580681668
31	0.7831164575	0.2559345496
32	0.7831164575	0.2539541289
33	0.7815504982	0.251353658
34	0.7815504982	0.2472353989
35	0.7836928143	0.2444855257
36	0.7815504982	0.2393117308
37	0.7821285408	0.2377355061
38	0.783287195	0.2365449258
39	0.7850316272	0.2335715849
40	0.7838678103	0.2325227684
41	0.7856148326	0.2289956811
42	0.783287195	0.2275459274
43	0.7828763312	0.2251849856
44	0.7850316272	0.2240049284
45	0.7850316272	0.2214596558
46	0.7844492871	0.2203851966
47	0.7850316272	0.2193218743
48	0.783287195	0.2166656997
49	0.7889184563	0.2144737387
50	0.7889184563	0.2137387944
51	0.7877511889	0.2129709978
52	0.7883343905	0.2123575632
53	0.7889184563	0.2109531465
54	0.7906758578	0.2101646929
55	0.7906758578	0.2082133521556	0.7895033881	0.2068291755757	0.7895033881	0.2056688785858	0.790089188	0.205066462
59	0.7906758578	0.2037951943660	0.790089188	0.2033437589
61	0.7918518151	0.2019897083
62	0.795141709	0.2008581837
63	0.795141709	0.2000841322
64	0.7957318361	0.1990484233
65	0.7963228399	0.1985381929
66	0.7963228399	0.1980597265
67	0.7963228399	0.1974868033
68	0.7963228399	0.19678673
69	0.7957318361	0.1963577041
70	0.7957318361	0.195830333
71	0.795141709	0.1952412682
72	0.795141709	0.1946857977
73	0.7978236626	0.1940235531
74	0.7984137342	0.1935932178
75	0.795141709	0.1931090415
76	0.7957318361	0.1927001379
77	0.7984137342	0.1922644139
78	0.7957318361	0.1914096669
79	0.7990046793	0.1911806092
80	0.7984137342	0.1908629926
81	0.7990046793	0.1904413246
82	0.7984137342	0.18987202
83	0.7990046793	0.1894866666
84	0.8001891978	0.1890889575
85	0.7995964999	0.1885617684
86	0.800782775	0.1880638175
87	0.8019725753	0.1875313353
88	0.8025688023	0.1871821983
89	0.8019725753	0.1867548875
90	0.8019725753	0.1861932926
91	0.8019725753	0.1859483395
92	0.8019725753	0.1853110273
93	0.8019725753	0.1851219926
94	0.8019725753	0.1848208326
95	0.8019725753	0.1842711112
96	0.8025688023	0.1838049923
97	0.8031659164	0.1835182366
98	0.8031659164	0.1828543142
99	0.8019725753	0.1823123758
100	0.8031659164	0.1819701712
101	0.8025688023	0.1815900032
102	0.8025688023	0.1812677172
103	0.8019725753	0.1808985834
104	0.8025688023	0.1805911687
105	0.8025688023	0.1802046742
106	0.8025688023	0.1799371412
107	0.8064265881	0.1796607107
108	0.8052316618	0.1791905291
109	0.8070253822	0.1790975011
110	0.8070253822	0.1786816674
111	0.8076250662	0.178420865
112	0.8076250662	0.1780233434
113	0.808225642	0.1778608193
114	0.808225642	0.1775757026
115	0.808225642	0.1771640972
116	0.8114709112	0.176846142
