iter	F1	Logloss
0	0.7711458693	0.625157786
1	0.7787128897	0.5742786738
2	0.7608570632	0.5258048369
3	0.760261922	0.4835566908
4	0.7846671245	0.4469371626
5	0.7642903846	0.4176958722
6	0.7925520071	0.3933513329
7	0.7928954586	0.3756609838
8	0.7934743195	0.3515934717
9	0.7966999536	0.3339028651
10	0.7972804597	0.3190570048
11	0.7952159847	0.3073710966
12	0.7969653126	0.2953463668
13	0.7987223539	0.2873931497
14	0.7960586692	0.279128303
15	0.7993097572	0.2711296553
16	0.8004871597	0.262951217
17	0.8016680359	0.2593957636
18	0.7957318361	0.2505935791
19	0.7995964999	0.244298895
20	0.7990046793	0.2386329149
21	0.8028524013	0.2343967537
22	0.7990046793	0.2292965645
23	0.8010771626	0.2245317454
24	0.8054972865	0.2213727923
25	0.8049047577	0.2164384847
26	0.809906544	0.2129095608
27	0.8093115035	0.209441668
28	0.8087173367	0.2065522544
29	0.809906544	0.2038587815
30	0.8090708606	0.2018918946
31	0.8066849651	0.1989655549
32	0.8066849651	0.1968522524
33	0.8066849651	0.194169024
34	0.8066849651	0.192689688
35	0.809906544	0.1906492395
36	0.8131107752	0.1882412931
37	0.8131107752	0.186673962
38	0.8149033913	0.1850369302
39	0.8155026878	0.1828663788
40	0.8161028665	0.1809958877
41	0.8155026878	0.1799513755
42	0.8212646854	0.1786550499
43	0.8256235156	0.1768579952
44	0.8250212146	0.175337551
45	0.8206648326	0.1739007427
46	0.8269568279	0.1732443615
47	0.8269568279	0.172218052
48	0.8275580525	0.1715035328
49	0.8300777157	0.1706207224
50	0.8300777157	0.1694223136
51	0.8362699362	0.1679140996
52	0.8362699362	0.1672373242
53	0.8350662106	0.1664361215
54	0.8387386164	0.1655137649
55	0.8393415304	0.1649164484
56	0.8393415304	0.1641166195
57	0.8399453119	0.1639916841
58	0.8393415304	0.1633689642
59	0.8405499626	0.1626555836
60	0.8405499626	0.1618849826
61	0.8399453119	0.1609505856
62	0.8442127072	0.1602725777
63	0.8436065866	0.160160944
64	0.8478614162	0.1596976811
65	0.8478614162	0.1589901904
66	0.8508871567	0.1580217073
67	0.8545066121	0.1572597285
68	0.8551170487	0.1569904
69	0.855728358	0.1562142758
70	0.8581122869	0.1556739922
71	0.8568912097	0.1546976924
72	0.8568912097	0.1540811501
73	0.8568912097	0.1532295462
74	0.8562819733	0.152635919
75	0.8550660959	0.1520530519
76	0.8556736027	0.1517172734
77	0.8575013136	0.1512228785
78	0.8581122869	0.1503390016
79	0.8575013136	0.1500331763
80	0.8575013136	0.1499668338
81	0.8575013136	0.1496294294
82	0.8575013136	0.1490113362
83	0.8568912097	0.1485883453
84	0.8575013136	0.1482070588
85	0.8581122869	0.1476062992
