iter	Passed	Remaining
0	205	204820
1	211	105700
2	224	74594
3	231	57607
4	238	47442
5	246	40832
6	253	35892
7	260	32352
8	289	31928
9	296	29377
10	303	27261
11	313	25824
12	318	24157
13	330	23253
14	348	22910
15	358	22030
16	363	21009
17	370	20230
18	377	19496
19	384	18855
20	391	18250
21	397	17660
22	404	17181
23	411	16730
24	418	16325
25	421	15795
26	427	15407
27	434	15090
28	440	14756
29	446	14441
30	453	14165
31	458	13880
32	465	13643
33	471	13397
34	477	13166
35	484	12965
36	489	12752
37	496	12566
38	501	12352
39	507	12179
40	513	12014
41	519	11845
42	525	11685
43	531	11545
44	537	11417
45	544	11295
46	550	11171
47	557	11050
48	563	10944
49	570	10832
50	576	10723
51	582	10616
52	588	10510
53	595	10424
54	601	10335
55	607	10240
56	613	10154
57	619	10063
58	622	9935
59	627	9833
60	633	9754
61	640	9686
62	645	9607
63	651	9531
64	658	9469
65	664	9407
66	669	9320
67	675	9264
68	679	9166
69	685	9106
70	692	9055
71	700	9027
72	712	9050
73	724	9062
74	728	8984
75	740	9002
76	746	8949
77	752	8898
78	758	8848
79	765	8798
80	772	8769
81	779	8725
82	786	8685
83	791	8635
84	795	8558
85	801	8522
86	808	8483
87	814	8442
88	821	8404
89	826	8360
90	833	8321
91	839	8280
92	841	8207
93	852	8219
94	859	8184
95	867	8166
96	873	8128
97	879	8091
98	886	8069
99	892	8033
100	899	8007
101	902	7946
102	905	7887
103	911	7857
104	917	7816
105	922	7784
106	926	7732
107	933	7712
108	938	7673
109	944	7644
110	950	7616
111	956	7586
112	963	7563
113	969	7535
114	972	7482
115	978	7460
116	985	7434
117	991	7410
118	998	7388
119	1001	7346
120	1005	7302
121	1011	7280
122	1015	7239
123	1019	7200
124	1026	7182
125	1032	7162
126	1037	7132
127	1043	7112
128	1048	7078
129	1051	7040
130	1058	7020
131	1061	6981
132	1067	6960
133	1072	6931
134	1079	6913
135	1085	6897
136	1091	6878
137	1097	6858
138	1103	6836
139	1110	6819
140	1117	6804
141	1124	6792
142	1129	6771
143	1135	6750
144	1142	6734
145	1147	6714
146	1154	6698
147	1160	6678
148	1166	6659
149	1321	7486
150	1344	7559
151	1353	7550
152	1390	7697
153	1509	8293
154	1693	9233
155	1709	9249
156	1775	9533
157	1781	9494
158	1788	9461
159	1815	9532
160	1829	9532
161	1838	9507
162	1848	9489
163	1857	9467
164	1865	9442
165	1872	9409
166	1878	9372
167	1885	9338
168	1897	9332
169	1905	9302
170	1919	9303
171	1928	9284
172	1937	9261
173	1947	9243
174	1954	9215
175	1961	9185
176	1968	9151
177	1974	9117
178	1980	9081
179	1986	9048
180	1992	9014
181	1998	8982
182	2004	8947
183	2010	8915
184	2016	8883
185	2022	8850
186	2028	8817
187	2034	8787
188	2040	8754
189	2047	8727
190	2053	8695
191	2058	8664
192	2065	8634
193	2071	8605
194	2077	8577
195	2083	8547
196	2089	8515
197	2095	8486
198	2101	8458
199	2107	8429
200	2114	8404
201	2120	8377
202	2126	8349
203	2132	8321
204	2138	8292
205	2144	8267
206	2150	8238
207	2156	8209
208	2162	8185
209	2168	8157
210	2174	8132
211	2180	8106
212	2186	8080
213	2193	8056
214	2199	8029
215	2204	8002
216	2211	7979
217	2217	7955
218	2225	7935
219	2234	7922
220	2244	7910
221	2250	7886
222	2257	7865
223	2263	7839
224	2268	7814
225	2275	7793
226	2281	7769
227	2287	7747
228	2293	7722
229	2299	7698
230	2306	7678
231	2314	7661
232	2320	7639
233	2326	7615
234	2332	7592
235	2339	7572
236	2346	7555
237	2351	7528
238	2357	7505
239	2362	7482
240	2369	7460
241	2374	7437
242	2380	7415
243	2386	7395
244	2393	7374
245	2404	7369
246	2410	7347
247	2417	7331
248	2424	7311
249	2430	7290
250	2436	7270
251	2442	7250
252	2449	7231
253	2454	7209
254	2460	7188
255	2467	7171
256	2473	7151
257	2480	7132
258	2485	7112
259	2491	7091
260	2497	7072
261	2503	7051
262	2510	7034
263	2515	7014
264	2522	6994
265	2528	6976
266	2534	6956
267	2540	6937
268	2546	6920
269	2552	6901
270	2558	6882
271	2564	6863
272	2570	6844
273	2576	6826
274	2582	6807
275	2588	6790
276	2594	6772
277	2600	6754
278	2607	6737
279	2612	6718
280	2618	6701
281	2625	6684
282	2631	6666
283	2637	6649
284	2643	6631
285	2649	6613
286	2655	6597
287	2661	6580
288	2667	6562
289	2674	6547
290	2679	6529
291	2686	6513
292	2692	6496
293	2698	6479
294	2705	6465
295	2711	6449
296	2717	6432
297	2723	6416
298	2729	6399
299	2735	6383
300	2742	6368
301	2748	6351
302	2754	6336
303	2760	6319
304	2766	6304
305	2773	6290
306	2780	6275
307	2790	6269
308	2798	6258
309	2806	6247
310	2821	6251
311	2827	6235
312	2856	6270
313	2865	6260
314	2894	6294
315	3152	6823
316	3207	6911
317	3279	7034
318	3297	7038
319	3305	7023
320	3317	7018
321	3331	7014
322	3343	7007
323	3355	7001
324	3364	6988
325	3376	6980
326	3388	6974
327	3395	6956
328	3403	6941
329	3410	6923
330	3421	6915
331	3432	6905
332	3438	6887
333	3446	6871
334	3454	6858
335	3464	6845
336	3470	6828
337	3478	6813
338	3485	6795
339	3492	6779
340	3499	6762
341	3506	6745
342	3513	6730
343	3519	6712
344	3526	6695
345	3533	6678
346	3540	6662
347	3547	6645
348	3554	6629
349	3561	6613
350	3567	6596
351	3574	6580
352	3581	6564
353	3589	6550
354	3596	6534
355	3605	6521
356	3611	6505
357	3619	6489
358	3626	6474
359	3632	6458
360	3639	6442
361	3646	6426
362	3653	6411
363	3661	6396
364	3667	6380
365	3674	6364
366	3680	6348
367	3688	6334
368	3695	6319
369	3703	6305
370	3709	6289
371	3716	6273
372	3722	6257
373	3729	6241
374	3736	6228
375	3743	6212
376	3750	6197
377	3757	6182
378	3763	6166
379	3770	6152
380	3777	6137
381	3784	6123
382	3791	6107
383	3798	6093
384	3805	6078
385	3812	6064
386	3818	6049
387	3828	6038
388	3839	6031
389	3864	6043
390	3875	6036
391	3882	6022
392	3889	6007
393	3896	5993
394	3903	5978
395	3910	5964
396	3916	5949
397	3923	5934
398	3930	5920
399	3937	5906
400	3944	5892
401	3954	5882
402	3962	5870
403	3969	5855
404	3977	5843
405	3983	5828
406	3991	5815
407	3998	5801
408	4005	5788
409	4012	5773
410	4018	5759
411	4026	5746
412	4032	5731
413	4039	5717
414	4045	5703
415	4052	5688
416	4059	5675
417	4066	5661
418	4073	5648
419	4079	5633
420	4086	5620
421	4092	5606
422	4099	5592
423	4107	5579
424	4113	5565
425	4122	5554
426	4128	5540
427	4137	5529
428	4144	5516
429	4151	5503
430	4158	5489
431	4164	5475
432	4173	5465
433	4183	5455
434	4189	5441
435	4196	5428
436	4203	5415
437	4209	5401
438	4217	5389
439	4223	5375
440	4230	5362
441	4237	5349
442	4244	5336
443	4251	5324
444	4258	5310
445	4271	5305
446	4305	5326
447	4313	5315
448	4359	5350
449	4827	5900
450	4936	6009
451	4954	6006
452	4962	5992
453	4976	5984
454	4990	5977
455	5001	5966
456	5016	5960
457	5023	5945
458	5032	5931
459	5044	5921
460	5058	5914
461	5067	5901
462	5080	5891
463	5089	5879
464	5096	5864
465	5103	5847
466	5109	5831
467	5117	5816
468	5124	5801
469	5138	5794
470	5156	5791
471	5188	5803
472	5196	5790
473	5204	5775
474	5212	5760
475	5219	5745
476	5226	5730
477	5232	5714
478	5238	5698
479	5245	5682
480	5251	5666
481	5257	5650
482	5263	5634
483	5269	5618
484	5276	5603
485	5283	5587
486	5289	5571
487	5295	5556
488	5301	5540
489	5308	5525
490	5314	5509
491	5321	5494
492	5327	5479
493	5333	5463
494	5340	5448
495	5346	5432
496	5353	5418
497	5359	5402
498	5365	5386
499	5371	5371
500	5378	5356
501	5384	5341
502	5390	5326
503	5396	5310
504	5403	5296
505	5408	5280
506	5415	5265
507	5421	5251
508	5427	5235
509	5434	5221
510	5440	5206
511	5446	5191
512	5453	5177
513	5460	5162
514	5466	5148
515	5472	5133
516	5478	5118
517	5485	5104
518	5491	5089
519	5497	5074
520	5504	5060
521	5515	5050
522	5521	5035
523	5527	5021
524	5535	5008
525	5542	4994
526	5549	4980
527	5555	4966
528	5562	4952
529	5568	4937
530	5574	4923
531	5581	4910
532	5587	4895
533	5594	4882
534	5600	4867
535	5606	4853
536	5612	4839
537	5618	4824
538	5625	4811
539	5632	4797
540	5638	4783
541	5645	4770
542	5651	4756
543	5657	4742
544	5664	4728
545	5670	4714
546	5676	4700
547	5682	4686
548	5688	4673
549	5695	4659
550	5701	4646
551	5708	4632
552	5713	4618
553	5720	4605
554	5726	4591
555	5733	4578
556	5739	4565
557	5745	4551
558	5751	4537
559	5758	4524
560	5764	4510
561	5771	4497
562	5777	4484
563	5783	4470
564	5789	4457
565	5796	4444
566	5801	4430
567	5807	4417
568	5813	4403
569	5820	4390
570	5827	4378
571	5833	4364
572	5839	4351
573	5846	4338
574	5853	4326
575	5859	4313
576	5865	4299
577	5871	4287
578	5877	4273
579	5884	4261
580	5890	4248
581	5896	4234
582	5903	4222
583	5914	4212
584	5921	4200
585	5927	4187
586	5934	4175
587	5944	4165
588	5975	4169
589	5989	4161
590	5995	4149
591	6001	4136
592	6008	4123
593	6017	4112
594	6024	4100
595	6144	4165
596	6185	4175
597	6463	4344
598	6481	4339
599	6490	4326
600	6500	4315
601	6514	4306
602	6525	4296
603	6537	4286
604	6578	4295
605	6584	4280
606	6590	4266
607	6600	4255
608	6614	4246
609	6620	4233
610	6630	4221
611	6636	4207
612	6644	4195
613	6651	4181
614	6659	4168
615	6665	4155
616	6672	4141
617	6678	4128
618	6684	4114
619	6691	4101
620	6698	4088
621	6706	4075
622	6712	4061
623	6718	4048
624	6724	4034
625	6730	4021
626	6736	4007
627	6742	3994
628	6748	3980
629	6754	3967
630	6760	3953
631	6766	3940
632	6773	3926
633	6779	3913
634	6784	3899
635	6791	3886
636	6796	3873
637	6803	3860
638	6809	3846
639	6815	3833
640	6822	3821
641	6828	3807
642	6834	3794
643	6840	3781
644	6846	3768
645	6853	3755
646	6859	3742
647	6865	3729
648	6871	3716
649	6877	3703
650	6884	3690
651	6889	3677
652	6895	3664
653	6902	3651
654	6908	3638
655	6915	3626
656	6920	3613
657	6926	3600
658	6933	3587
659	6939	3574
660	6945	3561
661	6951	3549
662	6958	3536
663	6964	3524
664	6970	3511
665	6977	3499
666	6984	3487
667	6993	3475
668	7000	3463
669	7006	3451
670	7018	3441
671	7030	3431
672	7036	3418
673	7042	3406
674	7048	3393
675	7055	3381
676	7061	3369
677	7067	3356
678	7079	3346
679	7085	3334
680	7090	3321
681	7098	3309
682	7105	3297
683	7113	3286
684	7125	3276
685	7133	3265
686	7140	3253
687	7146	3241
688	7152	3228
689	7158	3216
690	7164	3203
691	7170	3191
692	7177	3179
693	7183	3167
694	7189	3155
