iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN	Recall_SumError	Recall_SumWeight	Precision_SumError	Precision_SumWeight
0	3925.710129	4374.317242	741.7101293	995.7101293	936.3172424	741.7101293	936.3172424	741.7101293	995.7101293
1	3991.350968	4374.317242	723.3509676	893.3509676	936.3172424	723.3509676	936.3172424	723.3509676	893.3509676
2	4000.694632	4374.317242	730.6946323	898.6946323	936.3172424	730.6946323	936.3172424	730.6946323	898.6946323
3	4012.694632	4374.317242	730.6946323	886.6946323	936.3172424	730.6946323	936.3172424	730.6946323	886.6946323
4	4043.694632	4374.317242	730.6946323	855.6946323	936.3172424	730.6946323	936.3172424	730.6946323	855.6946323
5	4061.381962	4374.317242	745.3819616	867.3819616	936.3172424	745.3819616	936.3172424	745.3819616	867.3819616
6	4059.053794	4374.317242	749.0537939	877.0537939	936.3172424	749.0537939	936.3172424	749.0537939	877.0537939
7	4066.053794	4374.317242	749.0537939	870.0537939	936.3172424	749.0537939	936.3172424	749.0537939	870.0537939
8	4078.741123	4374.317242	763.7411232	886.7411232	936.3172424	763.7411232	936.3172424	763.7411232	886.7411232
9	4083.084788	4374.317242	771.0847878	897.0847878	936.3172424	771.0847878	936.3172424	771.0847878	897.0847878
10	4088.428452	4374.317242	778.4284525	906.4284525	936.3172424	778.4284525	936.3172424	778.4284525	906.4284525
11	4098.100285	4374.317242	782.1002848	904.1002848	936.3172424	782.1002848	936.3172424	782.1002848	904.1002848
12	4103.772117	4374.317242	785.7721171	905.7721171	936.3172424	785.7721171	936.3172424	785.7721171	905.7721171
13	4111.115782	4374.317242	793.1157818	913.1157818	936.3172424	793.1157818	936.3172424	793.1157818	913.1157818
14	4120.131279	4374.317242	804.1312788	926.1312788	936.3172424	804.1312788	936.3172424	804.1312788	926.1312788
15	4132.146776	4374.317242	815.1467757	936.1467757	936.3172424	815.1467757	936.3172424	815.1467757	936.1467757
16	4132.474943	4374.317242	811.4749434	928.4749434	936.3172424	811.4749434	936.3172424	811.4749434	928.4749434
17	4131.803111	4374.317242	807.8031111	921.8031111	936.3172424	807.8031111	936.3172424	807.8031111	921.8031111
18	4122.459446	4374.317242	800.4594464	916.4594464	936.3172424	800.4594464	936.3172424	800.4594464	916.4594464
19	4129.131279	4374.317242	804.1312788	917.1312788	936.3172424	804.1312788	936.3172424	804.1312788	917.1312788
20	4140.146776	4374.317242	815.1467757	928.1467757	936.3172424	815.1467757	936.3172424	815.1467757	928.1467757
