iter	Passed	Remaining
0	22	22604
1	30	15351
2	38	12743
3	51	12844
4	59	11762
5	71	11920
6	89	12742
7	102	12657
8	113	12543
9	131	12992
10	142	12838
11	153	12613
12	161	12281
13	164	11620
14	173	11382
15	182	11202
16	191	11066
17	199	10898
18	208	10770
19	216	10613
20	225	10491
21	232	10346
22	241	10251
23	249	10133
24	257	10047
25	265	9949
26	274	9875
27	282	9800
28	290	9736
29	298	9662
30	307	9596
31	316	9569
32	326	9559
33	335	9520
34	343	9473
35	351	9406
36	359	9365
37	368	9333
38	376	9281
39	384	9221
40	392	9181
41	401	9156
42	410	9134
43	418	9096
44	426	9053
45	434	9015
46	442	8978
47	451	8958
48	460	8928
49	468	8896
50	475	8856
51	484	8834
52	494	8828
53	503	8826
54	515	8858
55	526	8878
56	538	8912
57	552	8973
58	564	9002
59	581	9107
60	589	9070
61	598	9059
62	607	9028
63	615	9004
64	623	8970
65	632	8948
66	640	8914
67	649	8895
68	657	8870
69	667	8866
70	674	8830
71	683	8808
72	691	8776
73	700	8764
74	708	8739
75	717	8719
76	725	8694
77	733	8669
78	742	8655
79	750	8626
80	758	8606
81	766	8579
82	774	8560
83	782	8533
84	785	8451
85	793	8434
86	801	8411
87	809	8392
88	818	8373
89	826	8356
90	834	8332
91	842	8315
92	851	8299
93	859	8285
94	867	8263
95	876	8254
96	884	8231
97	892	8214
98	900	8195
99	909	8185
100	917	8162
101	925	8147
102	933	8127
103	944	8136
104	968	8257
105	979	8261
106	987	8243
107	995	8221
108	999	8170
109	1003	8119
110	1011	8100
111	1020	8089
112	1028	8070
113	1037	8060
114	1044	8039
115	1053	8024
116	1060	8004
117	1069	7991
118	1077	7975
119	1090	7994
120	1100	7991
121	1107	7971
122	1118	7971
123	1126	7955
124	1134	7942
125	1142	7925
126	1150	7911
127	1159	7895
128	1167	7885
129	1175	7870
130	1184	7854
131	1191	7837
132	1200	7827
133	1208	7810
134	1216	7795
135	1224	7781
136	1234	7774
137	1242	7764
138	1251	7750
139	1259	7733
140	1267	7722
141	1275	7706
142	1283	7693
143	1291	7675
144	1299	7664
145	1307	7648
146	1316	7641
147	1325	7629
148	1333	7613
149	1341	7600
150	1349	7585
151	1357	7575
152	1367	7569
153	1378	7573
154	1389	7575
155	1399	7572
156	1408	7561
157	1415	7545
158	1424	7532
159	1431	7517
160	1440	7507
161	1448	7493
162	1457	7483
163	1465	7470
164	1473	7457
165	1481	7443
166	1489	7429
167	1497	7416
168	1505	7405
169	1514	7393
170	1523	7387
171	1534	7388
172	1547	7399
173	1559	7403
174	1571	7406
175	1582	7408
176	1592	7404
177	1600	7389
178	1612	7395
179	1623	7395
180	1631	7381
181	1641	7377
182	1649	7363
183	1657	7351
184	1666	7341
185	1674	7328
186	1682	7313
187	1690	7301
188	1698	7289
189	1707	7278
190	1715	7266
191	1723	7251
192	1731	7239
193	1739	7225
194	1747	7214
195	1755	7200
196	1764	7191
197	1772	7178
198	1780	7167
199	1788	7153
200	1796	7141
201	1805	7132
202	1813	7120
203	1821	7106
204	1829	7094
205	1837	7081
206	1845	7069
207	1853	7058
208	1862	7047
209	1869	7034
210	1878	7023
211	1887	7015
212	1895	7003
213	1903	6991
214	1911	6980
215	1920	6971
216	1928	6960
217	1936	6946
218	1944	6934
219	1952	6922
220	1960	6912
